Prelude
5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
5 r d 0 0 e r 0 0 0 g r r s 0 4 d 0 0 e d e 0 0 r 0 0 0 d 5
5 d d 0 e 0 4 d 0 d d d d 6 0 4 0 d 5 2 2 2 d 2 2 2 d 2 2 5 
5 0 0 e 0 7 5 2 2 2 2 2 2 3 d 4 0 5 3 0 0 0 d 0 e 0 d e 0 5 
5 8 e 8 8 r 6 r 0 0 0 e 0 e 0 4 0 4 0 0 e e 0 0 0 0 0 0 e 5 
5 d r d 0 s 6 d d r e 0 e 0 e 4 e 4 d 0 0 0 e 0 g r r r 6 5 
5 0 d 0 0 0 6 0 0 e 7 8 8 8 8 5 0 5 8 8 8 8 9 d d d d k 6 5 
5 2 0 2 2 0 6 0 r 0 4 0 0 0 e 0 0 0 0 0 e 0 5 8 8 8 8 8 6 5 
5 e 0 0 0 0 6 e e 0 4 d 5 2 2 2 2 2 2 2 5 0 d 0 0 d 0 0 6 5 
5 0 7 0 7 0 6 r e 0 4 0 6 0 d 0 e 0 d 0 4 0 e 0 0 d 0 d 6 5 
5 e 4 d 4 d 6 d r e 4 d 6 e e 7 8 9 e 0 4 d d 5 5 5 0 0 6 5 
5 d 4 0 4 e 6 e r e 4 0 6 e 0 1 2 3 0 0 4 c 0 e 0 5 0 d 6 5 
5 d 4 e 4 0 6 0 d 0 4 d 6 0 d r s r d 0 4 c 0 d 0 5 e 0 6 5 
5 d 4 d d d 6 e e 0 4 0 6 0 0 7 e 9 0 0 4 c 0 e 0 5 0 0 6 5 
5 d 1 2 2 2 6 d d 7 5 r 5 9 0 4 e 6 0 7 5 5 5 5 5 5 0 0 6 5 
5 e 0 0 e 0 1 7 d 4 0 r 0 6 e 4 e 6 0 4 d 0 0 e 0 e r 0 6 5
5 0 r 0 0 0 e 1 7 4 0 s 0 6 0 4 e 6 0 4 0 0 e 0 e 0 s d 6 5 
5 0 s 0 e 0 e e 1 5 0 5 2 3 e 4 d 6 0 1 2 2 2 2 2 2 2 2 3 5
5 0 7 8 8 8 9 e e 1 0 6 0 0 0 4 t 6 0 0 0 0 e 0 0 0 b 0 0 5 
5 0 4 d r d 1 9 0 i 0 s 0 0 0 4 5 5 8 9 d e 0 e 0 d e 0 d 5 
5 0 4 0 d 0 r 1 9 0 0 1 9 0 e 1 2 2 2 3 0 0 5 2 2 2 0 2 2 5 
5 e 4 0 r 0 e e 1 9 0 0 1 9 0 0 d 0 0 0 0 e 6 d r r 0 0 r 5 
5 d 4 e 7 9 0 e 0 s s e 0 1 9 0 d 0 7 8 0 0 6 r r e r 0 e 5
5 0 4 0 4 6 0 7 9 0 1 9 d d 1 9 0 r 4 d d e 6 e 0 d e e 0 5 
5 d 4 d 4 6 d 4 6 0 d 1 5 5 5 3 d r 1 2 2 2 3 d 0 d d 0 d 5 
5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
